Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612262855	00030743	00006043	00000000	00000040	00000175	00000004	-72.924000	-155.900000	-83.900000	359.999000	0.001000	False	2395,07
L		1631612262855	00030745	00006045	00000000	00000040	00000179	00000004	-72.864000	-155.900000	-83.900000	359.999000	0.001000	True	2745,48
L		1631612262870	00030748	00006048	00000000	00000040	00000185	00000006	-72.775000	-155.900000	-83.900000	359.999000	0.001000	False	1404,05
L		1631612262870	00030750	00006050	00000000	00000040	00000189	00000004	-72.715000	-155.900000	-83.900000	359.999000	0.001000	False	2300,73
L		1631612262870	00030753	00006053	00000000	00000040	00000195	00000006	-72.628000	-155.900000	-83.900000	359.999000	0.001000	False	620,26
L		1631612262870	00030755	00006055	00000000	00000040	00000199	00000004	-72.568000	-155.900000	-83.900000	359.999000	0.001000	True	2545,17
L		1631612262886	00030757	00006057	00000000	00000040	00000203	00000004	-72.509000	-155.900000	-83.900000	359.999000	0.001000	False	410,79
L		1631612262886	00030759	00006059	00000000	00000040	00000207	00000004	-72.449000	-155.900000	-83.900000	359.999000	0.001000	False	631,69
L		1631612262886	00030761	00006061	00000000	00000040	00000211	00000004	-72.389000	-155.900000	-83.900000	359.999000	0.001000	False	2490,11
L		1631612262886	00030763	00006063	00000000	00000040	00000215	00000004	-72.328000	-155.900000	-83.900000	359.999000	0.001000	True	1396,19
L		1631612262902	00030765	00006065	00000000	00000040	00000219	00000004	-72.267000	-155.900000	-83.900000	359.999000	0.001000	False	1835,19
L		1631612262902	00030767	00006067	00000000	00000040	00000223	00000004	-72.206000	-155.900000	-83.900000	359.999000	0.001000	False	160,96
L		1631612262902	00030769	00006069	00000000	00000040	00000227	00000004	-72.144000	-155.900000	-83.900000	359.999000	0.001000	True	1256,17
L		1631612262902	00030771	00006071	00000000	00000040	00000231	00000004	-72.081000	-155.900000	-83.900000	359.999000	0.001000	False	419,35
L		1631612262917	00030773	00006073	00000000	00000040	00000235	00000004	-72.020000	-155.900000	-83.900000	359.999000	0.001000	False	882,92
L		1631612262917	00030775	00006075	00000000	00000040	00000239	00000004	-71.959000	-155.900000	-83.900000	359.999000	0.001000	False	441,99
L		1631612262917	00030777	00006077	00000000	00000040	00000243	00000004	-71.898000	-155.900000	-83.900000	359.999000	0.001000	False	2032,39
L		1631612262933	00030779	00006079	00000000	00000040	00000247	00000004	-71.839000	-155.900000	-83.900000	359.999000	0.001000	True	1319,34
L		1631612262933	00030781	00006081	00000000	00000040	00000251	00000004	-71.779000	-155.900000	-83.900000	359.999000	0.001000	True	1464,86
L		1631612262933	00030783	00006083	00000000	00000040	00000255	00000004	-71.721000	-155.900000	-83.900000	359.999000	0.001000	False	2262,11
L		1631612262933	00030785	00006085	00000000	00000040	00000259	00000004	-71.662000	-155.900000	-83.900000	359.999000	0.001000	False	29,31
L		1631612262949	00030787	00006087	00000000	00000040	00000263	00000004	-71.602000	-155.900000	-83.900000	359.999000	0.001000	True	1167,57
L		1631612262949	00030789	00006089	00000000	00000040	00000267	00000004	-71.544000	-155.900000	-83.900000	359.999000	0.001000	True	1227,17
L		1631612262949	00030791	00006091	00000000	00000040	00000271	00000004	-71.484000	-155.900000	-83.900000	359.999000	0.001000	True	1071,71
L		1631612262949	00030793	00006093	00000000	00000040	00000275	00000004	-71.425000	-155.900000	-83.900000	359.999000	0.001000	True	1797,56
L		1631612262964	00030795	00006095	00000000	00000040	00000279	00000004	-71.365000	-155.900000	-83.900000	359.999000	0.001000	True	78,84
L		1631612262964	00030797	00006097	00000000	00000040	00000283	00000004	-71.306000	-155.900000	-83.900000	359.999000	0.001000	True	1828,73
L		1631612262964	00030799	00006099	00000000	00000040	00000287	00000004	-71.246000	-155.900000	-83.900000	359.999000	0.001000	True	667,08
L		1631612262964	00030801	00006101	00000000	00000040	00000291	00000004	-71.185000	-155.900000	-83.900000	359.999000	0.001000	False	1041,26
L		1631612262980	00030803	00006103	00000000	00000040	00000295	00000004	-71.124000	-155.900000	-83.900000	359.999000	0.001000	True	2146,56
L		1631612262980	00030805	00006105	00000000	00000040	00000299	00000004	-71.063000	-155.900000	-83.900000	359.999000	0.001000	True	159,91
L		1631612262980	00030807	00006107	00000000	00000040	00000303	00000004	-71.000000	-155.900000	-83.900000	359.999000	0.001000	False	2560,03
L		1631612262980	00030809	00006109	00000000	00000040	00000307	00000004	-70.937000	-155.900000	-83.900000	359.999000	0.001000	True	303,25
L		1631612262995	00030811	00006111	00000000	00000040	00000311	00000004	-70.874000	-155.900000	-83.900000	359.999000	0.001000	True	1504,07
L		1631612262995	00030813	00006113	00000000	00000040	00000315	00000004	-70.812000	-155.900000	-83.900000	359.999000	0.001000	True	2018,11
L		1631612262995	00030815	00006115	00000000	00000040	00000319	00000004	-70.753000	-155.900000	-83.900000	359.999000	0.001000	False	1688,47
L		1631612262995	00030817	00006117	00000000	00000040	00000323	00000004	-70.694000	-155.900000	-83.900000	359.999000	0.001000	True	1539,59
L		1631612263011	00030819	00006119	00000000	00000040	00000327	00000004	-70.636000	-155.900000	-83.900000	359.999000	0.001000	False	640,74
L		1631612263011	00030821	00006121	00000000	00000040	00000331	00000004	-70.577000	-155.900000	-83.900000	359.999000	0.001000	False	2273,79
L		1631612263011	00030823	00006123	00000000	00000040	00000335	00000004	-70.518000	-155.900000	-83.900000	359.999000	0.001000	False	387,17
L		1631612263011	00030825	00006125	00000000	00000040	00000339	00000004	-70.459000	-155.900000	-83.900000	359.999000	0.001000	True	2009,02
L		1631612263027	00030827	00006127	00000000	00000040	00000343	00000004	-70.400000	-155.900000	-83.900000	359.999000	0.001000	True	1438,46
L		1631612263027	00030829	00006129	00000000	00000040	00000347	00000004	-70.340000	-155.900000	-83.900000	359.999000	0.001000	False	2502,7
L		1631612263027	00030831	00006131	00000000	00000040	00000351	00000004	-70.280000	-155.900000	-83.900000	359.999000	0.001000	False	446,07
L		1631612263027	00030833	00006133	00000000	00000040	00000355	00000004	-70.220000	-155.900000	-83.900000	359.999000	0.001000	True	1467,11
L		1631612263042	00030835	00006135	00000000	00000040	00000359	00000004	-70.160000	-155.900000	-83.900000	359.999000	0.001000	False	2915,9
L		1631612263042	00030838	00006138	00000000	00000040	00000365	00000006	-70.068000	-155.900000	-83.900000	359.999000	0.001000	False	96,17
